,Binomial_name_timetree,Binomial_name,Microdraw_name,English_name,Log10Area.cb,Log10Length.cb,Log10ThicknessMedian,Log10ThicknessMean,Log10ThicknessStd,Log10PeriodMedian,Log10PeriodMean,Log10PeriodStd,Log10WidthMedian,Log10WidthMean,Log10WidthStd,Log10Area.ctx,Log10Length.ctx,Order,Provenance,Log10BodyWeight,Log10BrainWeight,Source
Scalopus_aquaticus,Scalopus_aquaticus,Scalopus_aquaticus,Eastern mole,Eastern mole,1.09005006498208,1.47577518814704,-0.965568083034865,-0.936659133861935,-1.29997680671653,0.275272701715949,0.320559582353127,0.20166536101386,-0.283245132358597,-0.0289844716180822,0.0373617361221712,1.52004369324312,1.45772197326745,Soricomorpha,Brainmuseum,4.74493212836325,0.22314355131421,Smaers 2021
Semnopithecus_entellus,Semnopithecus_entellus,Semnopithecus_entellus,Northern Plains Gray langur,Northern plains grey langur,2.53482394785374,2.71442873098261,-0.562563383865318,-0.522125174691327,-0.941414561026038,0.490037166499902,0.545770092134144,0.441927523125153,0.022796941694484,0.136747907361577,0.129884359815896,3.04439501647856,2.53440096208526,Primates,Brainmuseum,9.59845584174923,4.70889937175057,Smaers 2021
Sorex_araneus,Sorex_araneus,Sorex_araneus,Common shrew cell staining,Common shrew,0.926958184769602,1.37632811992309,-0.994875279896646,-0.963790433120264,-1.2791042615573,NA,0.112325837332466,0.357159140826657,NA,-0.105831991565167,0.101110637305079,1.37693279721424,1.35209085541637,Soricomorpha,Brainmuseum,2.33214389523559,-1.6094379124341,Smaers 2021
Sus_scrofa,Sus_scrofa,Sus_scrofa_domesticus,Pig,Pig,2.50755107131255,2.58544456159934,-0.486677169540534,-0.395023762709157,-0.640014721383005,0.396676578574655,0.547668558495272,0.472940468889661,0.071520059235856,0.190428854637081,0.23403249536142,2.78730006740487,2.39940894086213,Artiodactyla,Brainmuseum,11.6699292137799,5.23750522715128,Smaers 2021
Tamandua_tetradactyla,Tamandua_tetradactyla,Tamandua_tetradactyla,Collared anteater,Collared anteater,2.19386284021465,2.36497992229206,-0.697517549327704,-0.674870365250572,-1.08634082636403,0.557911749965083,0.598577387114319,0.457785174873515,-0.00929629961275687,0.16983825900046,0.107579946015837,2.43457096246598,1.99046311411582,Pilosa,Brainmuseum,7.91571319938212,3.23474917402449,Smaers 2021
Taxidea_taxus,Taxidea_taxus,Taxidea_taxus,American badger Cell stain,American badger,2.17699865071799,2.34433769259408,-0.696998446344158,-0.646497305050337,-0.988412641659797,0.480951170993526,0.510887460544677,0.331004893704817,0.119981080015539,0.218317005028322,0.211535711884419,2.6555793199334,2.2434936395938,Carnivora,Brainmuseum,8.86925752279729,3.88998187455127,Smaers 2021
Tenrec_ecaudatus,Tenrec_ecaudatus,Tenrec_ecaudatus,Tail-less Tenrec,Tailless tenrec,1.66667654939165,1.82121187117731,-0.650691383212139,-0.622058438782505,-1.03843179283175,0.552750154302974,0.775738411249098,0.695007985821289,0.238953137748088,0.547410710563411,0.527035170782835,2.09223206310833,1.74472447292909,Afrosoricida,Brainmuseum,6.72383244082121,0.943905898907128,Smaers 2021
Thomomys_talpoides,Thomomys_talpoides,Thomomys_talpoides,Northern Pocket gopher,Northern pocket gopher,1.62959749070846,1.94424818489955,-0.783937073354728,-0.758949356255822,-1.1717907405088,0.150244675951094,0.213794098984915,0.0110774191327968,-0.16610622604763,-0.0979186445628482,-0.172900546174688,1.70436543240622,1.48734051244693,Rodentia,Brainmuseum,4.50645421304893,0.0582689081239758,Smaers 2021
Trichechus_manatus,Trichechus_manatus,Trichechus_manatus_latirostris,Manatee cell stain,Florida manatee,2.92553079645711,2.96118911212877,-0.668647623208326,-0.678254551464231,-1.07104985430242,0.578347224589857,0.632584975939378,0.491696720533443,0.178723413392043,0.339429448325874,0.261822218395641,3.30228908464649,2.46870363934284,Sirenia,Brainmuseum,13.0919041699196,5.75890177387728,Smaers 2021
Tupaia_glis,Tupaia_glis,Tupaia_glis,Treeshrew,Common treeshrew,1.45106779778241,1.90187479850948,-0.906855090627082,-0.84672491041518,-1.16024298760936,0.152088007809962,0.479894899411772,0.583173644781739,-0.0234856227969527,0.152758974521145,0.243130852779129,1.86285116317071,1.69613668024207,Scandentia,Brainmuseum,5.13579843705026,1.16315080980568,Smaers 2021
Ursus_maritimus,Ursus_maritimus,Ursus_maritimus,Polar bear,Polar bear,2.92609981861784,2.83020396853505,NA,0.109892259421412,-0.129748300048659,0.460970104424421,0.582740887359804,0.596519696444092,0.117124149281497,0.280118020312516,0.291899679255152,3.30574172756805,2.72418729978496,Carnivora,Brainmuseum,12.8706917424756,6.13000835655604,Smaers 2021
Zalophus_californianus,Zalophus_californianus,Zalophus_californianus,California sealion,California sealion,3.03986548870556,3.04334939445893,NA,0.0618858033356134,-0.165192228244151,0.415223803386,0.501147655696768,0.389886266392072,0.0626943902605956,0.188948991950045,0.158541761808656,3.27178975613854,2.86278934049464,Pinnipedia,Brainmuseum,12.7728059012345,5.42164058258004,Smaers 2021
