URL,Name,ncbi tx id,Gene bank common name,1st Cb slice,Last Cb slice,Cb slices,Mid Cb slice,Status,Review,Cb 25% slice,Status.1,Review.1,Cb 75% slice,Status.2,Scale bar (mm),Comment,1st Ctx slice,Last Ctx slice,Cortex slices,Mid Ctx slice,Status.3,Review.2,Ctx 25% slice,Status.4,Ctx 75% slice,Status.5,Unnamed: 27,Dentate_there,Unnamed: 29
https://microdraw.pasteur.fr/calsealion_cor_cell/calsealion_cor_cell.json,California sea lion,,,36.0,56.0,21,46.0,Done (RT),,41.0,Done (RT),,51.0,Done (RT),10.0,,0.0,53.0,54.0,27.0,Done (RT),,13.0,Done (KH),40.0,Done (KH),,,
https://microdraw.pasteur.fr/harborseal_cor_cell/harborseal_cor_cell.json,Harbor seal,,,49.0,106.0,58,78.0,Done (RT),,63.0,Done (RT),,92.0,Done (RT),10.0,,0.0,104.0,105.0,52.0,Done (RT),,26.0,Done (KH),78.0,Done (KH),,,
https://microdraw.pasteur.fr/beaver_cor_cell/beaver_cor_cell.json,American beaver,,,79.0,108.0,30,94.0,Done (RT),,86.0,Done (RT),,101.0,Done (RT),10.0,,16.0,85.0,70.0,51.0,Done (RT),,33.0,Done (KH),68.0,Done (KH),,,
https://microdraw.pasteur.fr/guineapig_cor_cell/guineapig_cor_cell.json,Guineapig,,,57.0,73.0,17,65.0,Done (RT),,61.0,Done (RT),,69.0,Done (RT),5.0,,8.0,57.0,50.0,33.0,Done (RT),,20.0,Done (KH),45.0,Done (KH),,,
https://microdraw.pasteur.fr/americanmole_cor_cell/americanmole_cor_cell.json,Eastern mole,,,27.0,34.0,8,31.0,Done (RT),,29.0,Done (RT),,32.0,Done (RT),1.0,Incomplete?,5.0,31.0,27.0,18.0,Done (RT),,12.0,Done (KH),25.0,Done (KH),,,
https://microdraw.pasteur.fr/commonshrew_cor_cell/commonshrew_cor_cell.json,Common shrew cell staining,,,15.0,22.0,8,19.0,Done (RT),,17.0,Done (RT),,20.0,Done (RT),5.0,,3.0,17.0,15.0,10.0,Done (RT),,7.0,Done (KH),14.0,Done (KH),,,
https://microdraw.pasteur.fr/commonshrew_cor_fiber/commonshrew_cor_fiber.json,Common shrew fiber staining,,,14.0,21.0,8,18.0,Done (RT),,16.0,Done (RT),,19.0,Done (RT),5.0,,3.0,17.0,15.0,10.0,Done (RT),,7.0,Done (KH),14.0,Done (KH),,,
https://microdraw.pasteur.fr/peccary_cor_cell/peccary_cor_cell.json,Collared peccary,,,38.0,51.0,14,45.0,Done (RT),,41.0,Done (RT),,48.0,Done (RT),10.0,,1.0,43.0,43.0,22.0,Done (RT),,12.0,Done (KH),33.0,Done (KH),,,
https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/MicroDraw/MicroDraw_Coronal.json,Human 20um BigBrain,,,709.0,3393.0,2685,2051.0,Done (KH),,1380.0,Done (KH),,2722.0,Done (KH),-47244.0,no scalebar in data. Use 47244 pixel/m,0.0,7403.0,7404.0,3702.0,Done (RT),,1851.0,Done (KH),5552.0,Done (KH),,,
https://microdraw.pasteur.fr/rm316-nissl.json,Rhesus macaque rm316 Nissl,,,304.0,445.0,142,375.0,Done (KH),,339.0,Done (KH),,410.0,Done (KH),-2173913.043,no scalebar in data: Use 1/0.46um pixel/m,0.0,468.0,469.0,234.0,Done (RT),,117.0,Done (KH),351.0,Done (KH),,,
